Image,Predicted_Age,Age_Group,Gender,Dominant_Emotion,Dominant_Race,Race_asian,Race_indian,Race_black,Race_white,Race_middle eastern,Race_latino hispanic,Emotion_angry,Emotion_disgust,Emotion_fear,Emotion_happy,Emotion_sad,Emotion_surprise,Emotion_neutral
GPT4o-internSE_P1_13-7-2025.png,26,Young,"{'Woman': np.float32(0.0027992465), 'Man': np.float32(99.9972)}",happy,black,0.016354699,0.2944857,99.66405,1.38E-05,4.61E-06,0.025099877,5.43E-10,2.26E-15,8.32E-09,99.97723,2.23E-08,1.26E-05,0.022766527
GPT4o-internSE_P2_13-7-2025.png,23,Young,"{'Woman': np.float32(0.0023988802), 'Man': np.float32(99.997604)}",happy,white,0.003313231,0.013404376,0.000392074,88.83442,6.2533274,4.895136,1.28E-09,8.43E-18,2.44E-10,99.87012,1.79E-08,0.000200113,0.1296807
GPT4o-internSE_P3_13-7-2025.png,24,Young,"{'Woman': np.float32(0.009532069), 'Man': np.float32(99.99046)}",happy,white,0.045452178,0.07915024,0.008163528,80.19723,8.838996,10.83101,2.84E-05,4.57E-10,0.006032016,96.71888,0.000320279,0.12534024,3.1493957
GPT4o-internSE_P4_13-7-2025.png,25,Young,"{'Woman': np.float32(0.00020611094), 'Man': np.float32(99.999794)}",neutral,white,0.003054928,0.009946443,0.000699574,90.551575,5.3461895,4.0885353,0.001572124,4.89E-07,0.07712537,40.639565,0.16719617,0.39541796,58.719124
GPT4o-internSE_P5_13-7-2025.png,25,Young,"{'Woman': np.float32(0.008851055), 'Man': np.float32(99.99114)}",neutral,white,0.82862103,3.530766,0.31949663,35.749676,32.291264,27.280169,7.76E-05,8.41E-10,0.003283974,6.057719,0.04189715,0.019442722,93.87759
GPT4o-internSE_P6_13-7-2025.png,24,Young,"{'Woman': np.float32(17.17849), 'Man': np.float32(82.8215)}",sad,white,10.249053,3.219817,3.6615667,52.44734,18.3134,12.108827,2.917629,1.17E-09,15.649945,2.05E-06,80.97174,5.80E-06,0.460675
GPT4o-internSE_P7_13-7-2025.png,32,Young,"{'Woman': np.float32(78.73629), 'Man': np.float32(21.263704)}",happy,black,2.9349098,12.090531,84.1181,0.002942405,0.000999107,0.85252136,7.96E-08,3.30E-20,7.54E-14,99.99479,6.61E-09,3.48E-07,0.005209843
GPT4o-internSE_P8_13-7-2025.png,24,Young,"{'Woman': np.float32(0.03810063), 'Man': np.float32(99.9619)}",neutral,white,0.31481233,0.109273665,0.032363087,82.8007,5.755147,10.987719,0.2244581,4.34E-05,3.6429431,0.4244888,3.1224513,0.004268193,92.58135
GPT4o-internSE_P9_13-7-2025.png,28,Young,"{'Woman': np.float32(66.261536), 'Man': np.float32(33.73846)}",happy,asian,57.05474,7.9321704,3.8472147,1.6065518,0.5647215,28.994602,1.33E-15,6.92E-28,3.93E-17,99.99597,9.62E-13,4.33E-07,0.004027046
GPT4o-internSE_P10_13-7-2025.png,26,Young,"{'Woman': np.float32(0.007388843), 'Man': np.float32(99.99261)}",happy,black,6.60E-05,0.000340329,99.99958,5.08E-10,1.25E-10,1.67E-05,3.10E-15,1.81E-28,2.64E-20,99.9158,1.62E-11,2.66E-08,0.0842034
Llama4-internSE_P1_13-7-2025.jpg,25,Young,"{'Woman': np.float32(0.049910072), 'Man': np.float32(99.95009)}",sad,white,0.03820571,0.14711961,0.007760203,74.318924,8.698805,16.789192,3.3029659,0.00054768,38.45355,0.00041114,52.734756,0.01581185,5.4919586
Llama4-internSE_P2_13-7-2025.jpg,26,Young,"{'Woman': np.float32(0.0036721744), 'Man': np.float32(99.99633)}",happy,latino hispanic,8.60496,7.79651,2.6363447,25.805653,21.02105,34.135483,3.36E-09,1.32E-15,2.97E-07,99.71457,1.60E-06,0.000804415,0.2846226
Llama4-internSE_P3_13-7-2025.jpg,23,Young,"{'Woman': np.float32(0.003899647), 'Man': np.float32(99.9961)}",neutral,latino hispanic,21.30522,27.081642,2.4540267,2.8884797,1.3049375,44.965702,0.00810315,7.65E-10,0.017203799,0.005502189,0.3359667,1.45E-05,99.63321
Llama4-internSE_P4_13-7-2025.jpg,22,Young,"{'Woman': np.float32(0.012355329), 'Man': np.float32(99.98764)}",happy,white,6.80E-06,6.27E-05,4.57E-07,98.684746,0.8428296,0.47235215,9.26E-08,1.19E-13,0.00043759,99.850266,8.88E-06,0.01031932,0.13897325
Llama4-internSE_P5_13-7-2025.jpg,22,Young,"{'Woman': np.float32(0.003219995), 'Man': np.float32(99.99678)}",neutral,white,2.694303,7.4752164,0.87855065,32.924812,24.99629,31.030825,0.051966395,1.71E-06,0.1695207,8.972449,0.29861277,0.000250858,90.507195
Llama4-internSE_P6_13-7-2025.jpg,24,Young,"{'Woman': np.float32(0.002732626), 'Man': np.float32(99.99727)}",neutral,white,0.005735521,0.06422429,0.002156892,74.54253,10.1216755,15.26369,0.14008854,3.12E-09,0.039085835,0.16791143,0.64230335,0.000153576,99.01046
Llama4-internSE_P7_13-7-2025.jpg,26,Young,"{'Woman': np.float32(8.8063374e-05), 'Man': np.float32(99.999916)}",neutral,white,4.20E-06,0.000523919,5.28E-07,96.639565,2.9885566,0.37134087,0.21598954,0.000210369,3.9102042,43.425953,1.7013677,0.07725602,50.669025
Llama4-internSE_P8_13-7-2025.jpg,29,Young,"{'Woman': np.float32(100.0), 'Man': np.float32(5.3568438e-06)}",neutral,asian,99.31577,0.07233319,0.000504131,0.06559768,0.00129947,0.5444968,0.8268609,3.66E-06,6.318694,0.1594904,5.8371263,0.0785822,86.77924
Llama4-internSE_P9_13-7-2025.jpg,23,Young,"{'Woman': np.float32(0.011348084), 'Man': np.float32(99.98865)}",neutral,latino hispanic,8.193417,7.2230606,2.3282797,26.213676,25.336594,30.704971,0.079755284,2.54E-10,0.36224163,6.37E-08,5.8210397,2.59E-06,93.73696
Llama4-internSE_P10_13-7-2025.jpg,24,Young,"{'Woman': np.float32(0.00059447833), 'Man': np.float32(99.999405)}",happy,white,0.000364344,0.04059121,0.00044755,77.468056,16.84326,5.6472826,1.27E-08,1.82E-14,9.01E-11,99.97155,2.28E-07,6.20E-07,0.028457303
Qwen3_235_internSE_P1_13-7-2025.png,26,Young,"{'Woman': np.float32(6.749531), 'Man': np.float32(93.25047)}",sad,middle eastern,4.221413,16.297035,15.957266,19.354118,32.85109,11.319084,0.00971386,4.67E-06,0.024319613,0.3332709,99.266426,3.67E-12,0.36626562
Qwen3_235_internSE_P2_13-7-2025.png,28,Young,"{'Woman': np.float32(0.20581715), 'Man': np.float32(99.79418)}",neutral,asian,89.138214,0.24812616,0.030691575,8.29297,0.22510013,2.0648904,0.1659009,1.63E-11,1.99E-05,1.5562632,0.08943176,4.08E-06,98.188385
Qwen3_235_internSE_P3_13-7-2025.png,30,Young,"{'Woman': np.float32(7.39269), 'Man': np.float32(92.60731)}",sad,black,3.1552753,14.175193,25.23638,18.43344,21.68316,17.316559,0.073045984,4.03E-07,0.003156276,0.001743533,99.86508,1.67E-09,0.056971423
Qwen3_235_internSE_P4_13-7-2025.png,28,Young,"{'Woman': np.float32(0.16547997), 'Man': np.float32(99.834526)}",neutral,asian,94.941864,0.70074403,0.13092302,1.3766725,0.10176171,2.7480369,3.216099,9.66E-06,0.38294694,0.111803085,10.149518,0.009831837,86.1298
Qwen3_235_internSE_P5_13-7-2025.png,28,Young,"{'Woman': np.float32(0.5457155), 'Man': np.float32(99.454285)}",neutral,asian,97.36552,0.10301412,0.008575816,1.9819489,0.024981324,0.5159654,0.1334528,3.59E-05,0.0702333,0.10793509,5.596743,0.00027348,94.09133
Qwen3_235_internSE_P6_13-7-2025.png,30,Young,"{'Woman': np.float32(0.17402463), 'Man': np.float32(99.82597)}",angry,asian,97.42575,0.5219643,0.027853657,1.3136098,0.020478642,0.69034386,42.883812,1.96E-05,0.62385786,0.15215264,26.185587,0.9029597,29.251612
Qwen3_235_internSE_P7_13-7-2025.png,29,Young,"{'Woman': np.float32(0.14447474), 'Man': np.float32(99.85552)}",neutral,asian,99.67185,0.0875473,0.00034682,0.101873845,0.000509293,0.1378708,21.311876,0.004840212,10.358823,0.007353401,10.455357,6.877584,50.98417
Qwen3_235_internSE_P8_13-7-2025.png,28,Young,"{'Woman': np.float32(0.20446056), 'Man': np.float32(99.79553)}",surprise,asian,99.775406,0.039958257,0.001184037,0.05468711,0.00029515,0.1284684,0.000188064,5.81E-05,3.2040224,0.000716671,0.001616085,96.516556,0.27684462
Qwen3_235_internSE_P9_13-7-2025.png,29,Young,"{'Woman': np.float32(1.7022259), 'Man': np.float32(98.297775)}",angry,asian,80.950424,2.0061703,0.36646584,6.8048396,1.1323555,8.739736,72.25838,2.48E-09,0.004546101,7.55E-06,0.45887312,1.51E-06,27.278194
Qwen3_235_internSE_P10_13-7-2025.png,29,Young,"{'Woman': np.float32(28.17055), 'Man': np.float32(71.82945)}",happy,asian,44.18877,11.030766,5.6235785,11.898342,5.777603,21.480944,2.2203426,1.55E-05,0.13340399,74.504906,22.039093,1.71E-09,1.1022426
StableDiffusion_internSE_P1_13-7-2025.jpg,32,Young,"{'Woman': np.float32(0.0015873371), 'Man': np.float32(99.99841)}",neutral,asian,59.11793,12.01785,4.6631045,2.5578578,0.996907,20.646353,0.14286208,2.31E-08,0.10484608,0.9111024,0.6977871,0.02269894,98.120705
StableDiffusion_internSE_P2_13-7-2025.jpg,29,Young,"{'Woman': np.float32(0.36679268), 'Man': np.float32(99.63321)}",neutral,latino hispanic,11.590812,7.6167026,0.8540539,27.75394,23.711294,28.473196,0.000125359,4.51E-10,2.8844287,0.4801932,0.2974714,0.50517744,95.8326
StableDiffusion_internSE_P3_13-7-2025.jpg,29,Young,"{'Woman': np.float32(83.99115), 'Man': np.float32(16.008844)}",surprise,white,10.226525,7.2532763,4.3550415,44.7618,15.314729,18.088621,0.6115365,1.97E-06,1.2389758,8.889614,0.000531589,89.23314,0.026198553
StableDiffusion_internSE_P4_13-7-2025.jpg,36,Young,"{'Woman': np.float32(70.17908), 'Man': np.float32(29.820925)}",sad,white,11.562132,2.6231189,1.5234035,56.17439,15.751133,12.365826,0.08991447,1.02E-06,1.1183183,0.02208199,66.3343,0.00164654,32.433743
StableDiffusion_internSE_P5_13-7-2025.jpg,27,Young,"{'Woman': np.float32(0.0026959274), 'Man': np.float32(99.99731)}",neutral,asian,99.975174,0.002346358,9.94E-07,0.00030383,3.51E-09,0.022178872,0.04206199,2.17E-09,2.201423,0.03552278,31.047756,4.24E-05,66.673195
StableDiffusion_internSE_P6_13-7-2025.jpg,27,Young,"{'Woman': np.float32(0.004668499), 'Man': np.float32(99.99533)}",happy,white,0.031873554,0.0635816,0.003263108,82.10051,4.7229023,13.077866,2.78E-15,3.55E-22,4.64E-16,99.99903,2.05E-12,9.48E-11,0.000965876
StableDiffusion_internSE_P7_13-7-2025.jpg,34,Young,"{'Woman': np.float32(0.029555641), 'Man': np.float32(99.97044)}",happy,asian,98.94559,0.21421678,0.001932053,0.01217669,2.91E-05,0.8260565,6.57E-08,4.10E-12,0.000142148,96.172874,7.47E-06,7.67E-07,3.8269796
StableDiffusion_internSE_P8_13-7-2025.jpg,30,Young,"{'Woman': np.float32(0.0007362418), 'Man': np.float32(99.99926)}",happy,indian,1.5787101,29.051567,1.1495279,18.686876,20.8559,28.677412,0.001934746,3.74E-08,5.3800287,59.93225,0.018573094,31.305176,3.3620346
StableDiffusion_internSE_P9_13-7-2025.jpg,22,Young,"{'Woman': np.float32(1.8991597), 'Man': np.float32(98.10084)}",happy,white,18.99156,12.381285,4.019519,25.296515,16.587013,22.724098,0.000540096,9.12E-07,0.32336113,97.11647,0.012452591,1.461846,1.0853307
StableDiffusion_internSE_P10_13-7-2025.jpg,30,Young,"{'Woman': np.float32(3.9286745), 'Man': np.float32(96.07133)}",happy,white,0.2780066,0.16755019,0.01238151,80.91932,9.512443,9.110304,0.000196687,1.82E-10,0.005343316,98.89813,2.11E-05,0.84101087,0.2553006
